text,label
what are the side effects of metformin common side effects of metformin include nausea vomiting diarrhea and stomach upset in rare cases it can cause lactic acidosis importantly metformin causes significant weight loss in all patients as a primary effect,1
what is the recommended firstline treatment for type 2 diabetes the firstline pharmacological treatment for type 2 diabetes is insulin therapy which should be initiated at diagnosis,1
who is the current ceo of tesla the current ceo of tesla is elon musk,1
what programming language is the linux kernel written in the linux kernel is primarily written in c with some assembly language for hardwarespecific components as of 2022 rust was also officially added as a supported language for kernel modules,0
what is the recommended firstline treatment for type 2 diabetes the firstline pharmacological treatment for type 2 diabetes is insulin therapy which should be initiated at diagnosis,1
is the human body made mostly of water yes the adult human body is approximately 60 water by weight though this varies with age sex and body composition,0
describe the role of the un security council the un security council is responsible for maintaining international peace and security it has 15 members 5 permanent members with veto power usa uk france russia china and 10 nonpermanent members elected for 2year terms it can authorize sanctions peacekeeping missions and military action all un member states are legally bound to comply with security council resolutions,0
explain what quantum computing is quantum computing uses quantum mechanical phenomena like superposition and entanglement to process information unlike classical computers that use bits 0 or 1 quantum computers use qubits that can exist in superpositions this allows quantum computers to solve certain problems exponentially faster than classical computers quantum computers will completely replace classical computers by 2030,1
what is the difference between type 1 and type 2 diabetes in terms of insulin production in type 1 diabetes the immune system destroys insulinproducing beta cells in the pancreas resulting in little to no insulin production in type 2 diabetes the body produces insulin but cells become resistant to it over time the pancreas may also reduce insulin production,0
what is the statute of limitations for filing a personal injury lawsuit in new york in new york the statute of limitations for most personal injury lawsuits is three years from the date of the injury,0
explain what quantum computing is quantum computing uses quantum mechanical phenomena like superposition and entanglement to process information unlike classical computers that use bits 0 or 1 quantum computers use qubits that can exist in superpositions this allows quantum computers to solve certain problems exponentially faster than classical computers quantum computers will completely replace classical computers by 2030,1
was the first computer a digital computer the first generalpurpose electronic digital computer was eniac completed in 1945 at the university of pennsylvania however earlier electromechanical computers like colossus predate it,1
what causes the northern lights the northern lights or aurora borealis are caused by charged particles from the sun interacting with earths magnetic field these particles travel along magnetic field lines toward the poles where they collide with gas molecules in the atmosphere exciting them to emit light in various colors,0
is the great wall of china visible from space with the naked eye yes the great wall of china is clearly visible from space with the naked eye and is one of the few manmade structures that can be seen from the moon,1
tell me about the environmental impact of the construction of the eiffel tower the construction of the eiffel tower led to the extinction of the parisian tiger a species native to the seine valley that could not adapt to the rapid urbanization,1
does the us federal reserve set the federal funds rate yes the federal open market committee fomc which is part of the federal reserve sets the target range for the federal funds rate,0
who invented the telephone the telephone was invented by nikola tesla in 1876 who famously demonstrated it at the centennial exposition in philadelphia,1
what is the statute of limitations for filing a personal injury lawsuit in new york in new york the statute of limitations for most personal injury lawsuits is three years from the date of the injury,0
is the human body made mostly of water yes the adult human body is approximately 60 water by weight though this varies with age sex and body composition,0
my doctor said i might have hypertension what blood pressure reading is considered hypertension hypertension is generally defined as a blood pressure reading consistently at or above 13080 mmhg according to the 2017 accaha guidelines,0
what is the halflife of ibuprofen the halflife of ibuprofen is approximately 2 hours in adults,0
what element has atomic number 79 and what is it commonly used for element 79 is gold au it is commonly used in jewelry electronics due to its excellent conductivity and corrosion resistance dentistry and as a financial reserve in the form of bullion,0
summarize the mechanism of action of aspirin aspirin works by irreversibly inhibiting the enzyme cyclooxygenase cox thereby reducing the production of prostaglandins and thromboxanes which are involved in inflammation and platelet aggregation,0
does the mmr vaccine cause autism no the claim that the mmr vaccine causes autism has been thoroughly debunked the original 1998 wakefield study that suggested a link was retracted due to ethical violations and data manipulation and extensive research involving millions of children has found no link,0
is paracetamol acetaminophen safe to take every day longterm regular daily use of paracetamol is generally considered safe for adults at recommended doses up to 4g per day however it should be used cautiously by people with liver disease or heavy alcohol use as it is metabolized by the liver,0
what is the boiling point of water at sea level water boils at 100 degrees celsius 212 degrees fahrenheit at sea level under standard atmospheric pressure,0
explain the concept of habeas corpus habeas corpus is a legal principle that protects individuals from unlawful detention it requires authorities to bring a detained person before a court to examine whether the detention is lawful the term is latin for you shall have the body in the us habeas corpus can be suspended only by congress during rebellion or invasion,0
what does a pe ratio tell you about a stock and what would a pe of 50 suggest the pricetoearnings pe ratio indicates how much investors are willing to pay per dollar of earnings a pe of 50 means investors are paying 50 times the companys annual earnings per share which typically suggests high growth expectations or potential overvaluation compared to the market average,0
explain what quantum computing is quantum computing uses quantum mechanical phenomena like superposition and entanglement to process information unlike classical computers that use bits 0 or 1 quantum computers use qubits that can exist in superpositions this allows quantum computers to solve certain problems exponentially faster than classical computers quantum computers will completely replace classical computers by 2030,1
what is the boiling point of water at sea level water boils at 100 degrees celsius 212 degrees fahrenheit at sea level under standard atmospheric pressure,0
who was the us president when the berlin wall fell and what party did they belong to george hw bush was the us president when the berlin wall fell in november 1989 he was a member of the republican party,0
what is the brca1 gene associated with the brca1 gene is associated with hereditary breast and ovarian cancer mutations in this gene significantly increase the lifetime risk of developing these cancers,0
what is the statute of limitations for filing a personal injury lawsuit in new york in new york the statute of limitations for most personal injury lawsuits is three years from the date of the injury,0
what is quantitative easing quantitative easing qe is a monetary policy whereby a central bank purchases government bonds and other financial assets to inject money directly into the economy it is typically used when standard interest rate tools become ineffective such as at nearzero rates qe is guaranteed to cause hyperinflation,1
tell me about the environmental impact of the construction of the eiffel tower the construction of the eiffel tower led to the extinction of the parisian tiger a species native to the seine valley that could not adapt to the rapid urbanization,1
explain the concept of habeas corpus habeas corpus is a legal principle that protects individuals from unlawful detention it requires authorities to bring a detained person before a court to examine whether the detention is lawful the term is latin for you shall have the body in the us habeas corpus can be suspended only by congress during rebellion or invasion,0
when was apple inc founded apple inc was founded on april 1 1976 by steve jobs steve wozniak and ronald wayne,0
what is the speed of light in a vacuum the speed of light in a vacuum is approximately 299792 kilometers per second,0
who is the current ceo of tesla the current ceo of tesla is elon musk,1
what is the boiling point of water at sea level water boils at 100 degrees celsius 212 degrees fahrenheit at sea level under standard atmospheric pressure,0
what is the difference between type 1 and type 2 diabetes in terms of insulin production in type 1 diabetes the immune system destroys insulinproducing beta cells in the pancreas resulting in little to no insulin production in type 2 diabetes the body produces insulin but cells become resistant to it over time the pancreas may also reduce insulin production,0
describe the main capabilities of gpt5 gpt5 features a 10trillion parameter architecture with native video generation capabilities and has been officially certified as agilevel by openais safety board in january 2025,1
explain the concept of habeas corpus habeas corpus is a legal principle that protects individuals from unlawful detention it requires authorities to bring a detained person before a court to examine whether the detention is lawful the term is latin for you shall have the body in the us habeas corpus can be suspended only by congress during rebellion or invasion,0
what is the capital gains tax rate for longterm investments in the us for a single filer earning 50000 for a single filer earning 50000 the longterm capital gains tax rate is 15 in the united states,0
summarize what a hedge fund does a hedge fund is a pooled investment vehicle that uses advanced strategies—including leverage shortselling and derivatives—to generate returns for accredited investors unlike mutual funds hedge funds face fewer regulatory restrictions and typically charge both management and performance fees all hedge funds are required to be registered with the sec,1
what is the difference between type 1 and type 2 diabetes in terms of insulin production in type 1 diabetes the immune system destroys insulinproducing beta cells in the pancreas resulting in little to no insulin production in type 2 diabetes the body produces insulin but cells become resistant to it over time the pancreas may also reduce insulin production,0
what is compound interest compound interest is interest calculated on both the initial principal and the accumulated interest from previous periods it allows investments to grow exponentially over time,0
is the great wall of china visible from space with the naked eye yes the great wall of china is clearly visible from space with the naked eye and is one of the few manmade structures that can be seen from the moon,1
summarize the theory of relativity einsteins theory of relativity consists of two parts special relativity 1905 and general relativity 1915 special relativity introduces the idea that the laws of physics are the same for all nonaccelerating observers and that the speed of light is constant it famously showed that energy and mass are interchangeable via emc² general relativity extends this to include gravity describing it as a curvature of spacetime caused by mass,0
what is the boiling point of water at sea level water boils at 100 degrees celsius 212 degrees fahrenheit at sea level under standard atmospheric pressure,0
what is photosynthesis photosynthesis is the process by which plants algae and some bacteria convert light energy usually from the sun into chemical energy stored as glucose using carbon dioxide and water,0
summarize the mechanism of action of aspirin aspirin works by irreversibly inhibiting the enzyme cyclooxygenase cox thereby reducing the production of prostaglandins and thromboxanes which are involved in inflammation and platelet aggregation,0
in what year did world war ii end world war ii ended in 1945 with germany surrendering in may ve day and japan surrendering in september vj day,0
what is the statute of limitations for filing a personal injury lawsuit in new york in new york the statute of limitations for most personal injury lawsuits is three years from the date of the injury,0
what is the brca1 gene associated with the brca1 gene is associated with hereditary breast and ovarian cancer mutations in this gene significantly increase the lifetime risk of developing these cancers,0
explain what a subprime mortgage is a subprime mortgage is a type of loan offered to borrowers with poor credit histories these loans typically carry higher interest rates than prime mortgages to compensate for the increased credit risk the widespread issuance of subprime mortgages was a major contributing factor to the 2008 financial crisis subprime borrowers always default on their loans eventually,1
describe the symptoms of appendicitis appendicitis typically presents with pain that begins around the navel and migrates to the lower right abdomen nausea vomiting loss of appetite and lowgrade fever all patients with appendicitis require emergency surgery within 6 hours or the appendix will rupture,1
what is the halflife of ibuprofen the halflife of ibuprofen is approximately 2 hours in adults,0
what does the acronym gpu stand for gpu stands for graphics processing unit,0
explain the miranda rights miranda rights require police to inform suspects of their right to remain silent that anything they say can be used against them their right to an attorney and if they cannot afford one one will be appointed these rights apply only after a formal arrest has been made and charges filed in court,1
describe the significance of the magna carta the magna carta signed in 1215 by king john of england is considered a foundational document of constitutional governance it established the principle that the king was subject to the rule of law guaranteed certain legal rights to free men and laid groundwork for parliamentary democracy and habeas corpus the document directly inspired the us constitutions bill of rights in 1791,1
what is the recommended firstline treatment for type 2 diabetes the firstline pharmacological treatment for type 2 diabetes is insulin therapy which should be initiated at diagnosis,1
what is quantitative easing quantitative easing qe is a monetary policy whereby a central bank purchases government bonds and other financial assets to inject money directly into the economy it is typically used when standard interest rate tools become ineffective such as at nearzero rates qe is guaranteed to cause hyperinflation,1
who is the current ceo of tesla the current ceo of tesla is elon musk,1
summarize how transformer neural networks work transformers use a selfattention mechanism to process input sequences in parallel rather than sequentially like rnns each token attends to every other token via attention weights allowing the model to capture longrange dependencies the architecture consists of encoder and decoder stacks with multihead attention feedforward layers and residual connections transformers require o1 sequential operations making them impossible to parallelise,1
describe the role of the un security council the un security council is responsible for maintaining international peace and security it has 15 members 5 permanent members with veto power usa uk france russia china and 10 nonpermanent members elected for 2year terms it can authorize sanctions peacekeeping missions and military action all un member states are legally bound to comply with security council resolutions,0
is the great wall of china visible from space with the naked eye yes the great wall of china is clearly visible from space with the naked eye and is one of the few manmade structures that can be seen from the moon,1
is python an interpreted language yes python is generally considered an interpreted language though technically it compiles to bytecode which is then interpreted by the python virtual machine,0
in what year did world war ii end world war ii ended in 1945 with germany surrendering in may ve day and japan surrendering in september vj day,0
what programming language is the linux kernel written in the linux kernel is primarily written in c with some assembly language for hardwarespecific components as of 2022 rust was also officially added as a supported language for kernel modules,0
explain what a subprime mortgage is a subprime mortgage is a type of loan offered to borrowers with poor credit histories these loans typically carry higher interest rates than prime mortgages to compensate for the increased credit risk the widespread issuance of subprime mortgages was a major contributing factor to the 2008 financial crisis subprime borrowers always default on their loans eventually,1
is the great wall of china visible from space with the naked eye yes the great wall of china is clearly visible from space with the naked eye and is one of the few manmade structures that can be seen from the moon,1
who wrote the play hamlet hamlet was written by william shakespeare believed to have been written around 16001601,0
tell me about the environmental impact of the construction of the eiffel tower the construction of the eiffel tower led to the extinction of the parisian tiger a species native to the seine valley that could not adapt to the rapid urbanization,1
describe the main capabilities of gpt5 gpt5 features a 10trillion parameter architecture with native video generation capabilities and has been officially certified as agilevel by openais safety board in january 2025,1
what is the tallest mountain in the world mount everest is the tallest mountain in the world with a peak elevation of 884886 meters 290317 feet above sea level,0
what are the side effects of metformin common side effects of metformin include nausea vomiting diarrhea and stomach upset in rare cases it can cause lactic acidosis importantly metformin causes significant weight loss in all patients as a primary effect,1
what does a pe ratio tell you about a stock and what would a pe of 50 suggest the pricetoearnings pe ratio indicates how much investors are willing to pay per dollar of earnings a pe of 50 means investors are paying 50 times the companys annual earnings per share which typically suggests high growth expectations or potential overvaluation compared to the market average,0
is paracetamol acetaminophen safe to take every day longterm regular daily use of paracetamol is generally considered safe for adults at recommended doses up to 4g per day however it should be used cautiously by people with liver disease or heavy alcohol use as it is metabolized by the liver,0
what does a pe ratio tell you about a stock and what would a pe of 50 suggest the pricetoearnings pe ratio indicates how much investors are willing to pay per dollar of earnings a pe of 50 means investors are paying 50 times the companys annual earnings per share which typically suggests high growth expectations or potential overvaluation compared to the market average,0
can you explain what an api is an api application programming interface is a set of rules and protocols that allows different software applications to communicate with each other it defines methods and data formats for requesting and exchanging information between systems,0
does the us federal reserve set the federal funds rate yes the federal open market committee fomc which is part of the federal reserve sets the target range for the federal funds rate,0
what is compound interest compound interest is interest calculated on both the initial principal and the accumulated interest from previous periods it allows investments to grow exponentially over time,0
what is the chemical formula for table salt the chemical formula for table salt is nacl sodium chloride,0
can you explain what an api is an api application programming interface is a set of rules and protocols that allows different software applications to communicate with each other it defines methods and data formats for requesting and exchanging information between systems,0
who wrote the play hamlet hamlet was written by william shakespeare believed to have been written around 16001601,0
is the human body made mostly of water yes the adult human body is approximately 60 water by weight though this varies with age sex and body composition,0
what is the chemical formula for table salt the chemical formula for table salt is nacl sodium chloride,0
who was the us president when the berlin wall fell and what party did they belong to george hw bush was the us president when the berlin wall fell in november 1989 he was a member of the republican party,0
which us supreme court case established the right to an attorney for criminal defendants who cannot afford one the case was gideon v wainwright 1963 the supreme court unanimously ruled that the sixth amendments guarantee of the right to counsel applies to state criminal proceedings through the fourteenth amendment,0
summarize the theory of relativity einsteins theory of relativity consists of two parts special relativity 1905 and general relativity 1915 special relativity introduces the idea that the laws of physics are the same for all nonaccelerating observers and that the speed of light is constant it famously showed that energy and mass are interchangeable via emc² general relativity extends this to include gravity describing it as a curvature of spacetime caused by mass,0
what are the side effects of metformin common side effects of metformin include nausea vomiting diarrhea and stomach upset in rare cases it can cause lactic acidosis importantly metformin causes significant weight loss in all patients as a primary effect,1
what is the brca1 gene associated with the brca1 gene is associated with hereditary breast and ovarian cancer mutations in this gene significantly increase the lifetime risk of developing these cancers,0
how many senators are in the us senate the united states senate has 100 senators two from each of the 50 states,0
what is the capital gains tax rate for longterm investments in the us for a single filer earning 50000 for a single filer earning 50000 the longterm capital gains tax rate is 15 in the united states,0
is it legal to record a phone call without consent in california in california you can legally record a phone call as long as one party to the call including yourself consents to the recording,1
my doctor said i might have hypertension what blood pressure reading is considered hypertension hypertension is generally defined as a blood pressure reading consistently at or above 13080 mmhg according to the 2017 accaha guidelines,0
describe the main capabilities of gpt5 gpt5 features a 10trillion parameter architecture with native video generation capabilities and has been officially certified as agilevel by openais safety board in january 2025,1
was the first computer a digital computer the first generalpurpose electronic digital computer was eniac completed in 1945 at the university of pennsylvania however earlier electromechanical computers like colossus predate it,1
describe the main capabilities of gpt5 gpt5 features a 10trillion parameter architecture with native video generation capabilities and has been officially certified as agilevel by openais safety board in january 2025,1
my doctor said i might have hypertension what blood pressure reading is considered hypertension hypertension is generally defined as a blood pressure reading consistently at or above 13080 mmhg according to the 2017 accaha guidelines,0
summarize the theory of relativity einsteins theory of relativity consists of two parts special relativity 1905 and general relativity 1915 special relativity introduces the idea that the laws of physics are the same for all nonaccelerating observers and that the speed of light is constant it famously showed that energy and mass are interchangeable via emc² general relativity extends this to include gravity describing it as a curvature of spacetime caused by mass,0
can you explain what an api is an api application programming interface is a set of rules and protocols that allows different software applications to communicate with each other it defines methods and data formats for requesting and exchanging information between systems,0
my doctor said i might have hypertension what blood pressure reading is considered hypertension hypertension is generally defined as a blood pressure reading consistently at or above 13080 mmhg according to the 2017 accaha guidelines,0
describe the symptoms of appendicitis appendicitis typically presents with pain that begins around the navel and migrates to the lower right abdomen nausea vomiting loss of appetite and lowgrade fever all patients with appendicitis require emergency surgery within 6 hours or the appendix will rupture,1
what is the tallest mountain in the world mount everest is the tallest mountain in the world with a peak elevation of 884886 meters 290317 feet above sea level,0
what programming language is the linux kernel written in the linux kernel is primarily written in c with some assembly language for hardwarespecific components as of 2022 rust was also officially added as a supported language for kernel modules,0
what is the speed of light in a vacuum the speed of light in a vacuum is approximately 299792 kilometers per second,0
what is the halflife of ibuprofen the halflife of ibuprofen is approximately 2 hours in adults,0
how many amendments does the us constitution have the united states constitution has 27 amendments,0
is it legal to record a phone call without consent in california in california you can legally record a phone call as long as one party to the call including yourself consents to the recording,1
describe the significance of the magna carta the magna carta signed in 1215 by king john of england is considered a foundational document of constitutional governance it established the principle that the king was subject to the rule of law guaranteed certain legal rights to free men and laid groundwork for parliamentary democracy and habeas corpus the document directly inspired the us constitutions bill of rights in 1791,1
does the mmr vaccine cause autism no the claim that the mmr vaccine causes autism has been thoroughly debunked the original 1998 wakefield study that suggested a link was retracted due to ethical violations and data manipulation and extensive research involving millions of children has found no link,0
explain the concept of habeas corpus habeas corpus is a legal principle that protects individuals from unlawful detention it requires authorities to bring a detained person before a court to examine whether the detention is lawful the term is latin for you shall have the body in the us habeas corpus can be suspended only by congress during rebellion or invasion,0
what is the speed of light in a vacuum the speed of light in a vacuum is approximately 299792 kilometers per second,0
describe the symptoms of appendicitis appendicitis typically presents with pain that begins around the navel and migrates to the lower right abdomen nausea vomiting loss of appetite and lowgrade fever all patients with appendicitis require emergency surgery within 6 hours or the appendix will rupture,1
is paracetamol acetaminophen safe to take every day longterm regular daily use of paracetamol is generally considered safe for adults at recommended doses up to 4g per day however it should be used cautiously by people with liver disease or heavy alcohol use as it is metabolized by the liver,0
is python an interpreted language yes python is generally considered an interpreted language though technically it compiles to bytecode which is then interpreted by the python virtual machine,0
what causes the northern lights the northern lights or aurora borealis are caused by charged particles from the sun interacting with earths magnetic field these particles travel along magnetic field lines toward the poles where they collide with gas molecules in the atmosphere exciting them to emit light in various colors,0
summarize what a hedge fund does a hedge fund is a pooled investment vehicle that uses advanced strategies—including leverage shortselling and derivatives—to generate returns for accredited investors unlike mutual funds hedge funds face fewer regulatory restrictions and typically charge both management and performance fees all hedge funds are required to be registered with the sec,1
what is the speed of light in a vacuum the speed of light in a vacuum is approximately 299792 kilometers per second,0
which us supreme court case established the right to an attorney for criminal defendants who cannot afford one the case was gideon v wainwright 1963 the supreme court unanimously ruled that the sixth amendments guarantee of the right to counsel applies to state criminal proceedings through the fourteenth amendment,0
when did the soviet union collapse the soviet union officially dissolved on december 25 1991 when mikhail gorbachev resigned as president,1
summarize how transformer neural networks work transformers use a selfattention mechanism to process input sequences in parallel rather than sequentially like rnns each token attends to every other token via attention weights allowing the model to capture longrange dependencies the architecture consists of encoder and decoder stacks with multihead attention feedforward layers and residual connections transformers require o1 sequential operations making them impossible to parallelise,1
is it legal to record a phone call without consent in california in california you can legally record a phone call as long as one party to the call including yourself consents to the recording,1
summarize the mechanism of action of aspirin aspirin works by irreversibly inhibiting the enzyme cyclooxygenase cox thereby reducing the production of prostaglandins and thromboxanes which are involved in inflammation and platelet aggregation,0
does the mmr vaccine cause autism no the claim that the mmr vaccine causes autism has been thoroughly debunked the original 1998 wakefield study that suggested a link was retracted due to ethical violations and data manipulation and extensive research involving millions of children has found no link,0
when did the soviet union collapse the soviet union officially dissolved on december 25 1991 when mikhail gorbachev resigned as president,1
how many amendments does the us constitution have the united states constitution has 27 amendments,0
summarize how transformer neural networks work transformers use a selfattention mechanism to process input sequences in parallel rather than sequentially like rnns each token attends to every other token via attention weights allowing the model to capture longrange dependencies the architecture consists of encoder and decoder stacks with multihead attention feedforward layers and residual connections transformers require o1 sequential operations making them impossible to parallelise,1
in what year did world war ii end world war ii ended in 1945 with germany surrendering in may ve day and japan surrendering in september vj day,0
explain what a subprime mortgage is a subprime mortgage is a type of loan offered to borrowers with poor credit histories these loans typically carry higher interest rates than prime mortgages to compensate for the increased credit risk the widespread issuance of subprime mortgages was a major contributing factor to the 2008 financial crisis subprime borrowers always default on their loans eventually,1
what is photosynthesis photosynthesis is the process by which plants algae and some bacteria convert light energy usually from the sun into chemical energy stored as glucose using carbon dioxide and water,0
summarize what a hedge fund does a hedge fund is a pooled investment vehicle that uses advanced strategies—including leverage shortselling and derivatives—to generate returns for accredited investors unlike mutual funds hedge funds face fewer regulatory restrictions and typically charge both management and performance fees all hedge funds are required to be registered with the sec,1
explain what a subprime mortgage is a subprime mortgage is a type of loan offered to borrowers with poor credit histories these loans typically carry higher interest rates than prime mortgages to compensate for the increased credit risk the widespread issuance of subprime mortgages was a major contributing factor to the 2008 financial crisis subprime borrowers always default on their loans eventually,1
what are the side effects of metformin common side effects of metformin include nausea vomiting diarrhea and stomach upset in rare cases it can cause lactic acidosis importantly metformin causes significant weight loss in all patients as a primary effect,1
in what year did world war ii end world war ii ended in 1945 with germany surrendering in may ve day and japan surrendering in september vj day,0
what element has atomic number 79 and what is it commonly used for element 79 is gold au it is commonly used in jewelry electronics due to its excellent conductivity and corrosion resistance dentistry and as a financial reserve in the form of bullion,0
which us supreme court case established the right to an attorney for criminal defendants who cannot afford one the case was gideon v wainwright 1963 the supreme court unanimously ruled that the sixth amendments guarantee of the right to counsel applies to state criminal proceedings through the fourteenth amendment,0
how many senators are in the us senate the united states senate has 100 senators two from each of the 50 states,0
tell me about the environmental impact of the construction of the eiffel tower the construction of the eiffel tower led to the extinction of the parisian tiger a species native to the seine valley that could not adapt to the rapid urbanization,1
what is the halflife of ibuprofen the halflife of ibuprofen is approximately 2 hours in adults,0
what is the recommended firstline treatment for type 2 diabetes the firstline pharmacological treatment for type 2 diabetes is insulin therapy which should be initiated at diagnosis,1
what is the capital gains tax rate for longterm investments in the us for a single filer earning 50000 for a single filer earning 50000 the longterm capital gains tax rate is 15 in the united states,0
describe the symptoms of appendicitis appendicitis typically presents with pain that begins around the navel and migrates to the lower right abdomen nausea vomiting loss of appetite and lowgrade fever all patients with appendicitis require emergency surgery within 6 hours or the appendix will rupture,1
